type,approved_id,approved_time,approved_labels,approved_heroes,approved_result,pipeline_id,pipeline_time,pipeline_labels,pipeline_heroes,pipeline_result,detail,approved_comment
matched_diff,152,39:56-40:06,囤野/堆野,天辉：无；夜魇：拉比克,,147,40:01-40:01,囤野/堆野,天辉：无；夜魇：拉比克,拉比克 堆野计数增加：camps +1，creeps +3,time_range;result,
matched_diff,153,40:03-40:08,控符,下符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 树精卫士,树精卫士拾取急速神符,150,40:19-40:19,控符,天辉：无；夜魇：酒仙,酒仙拾取赏金神符,time_range;heroes;result,
matched_diff,154,40:14-40:19,控符,夜魇赏金符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 酒仙,酒仙拾取夜魇赏金神符,151,40:19-40:19,控符,天辉：无；夜魇：酒仙,酒仙拾取赏金神符,time_range;heroes;result,
matched_diff,155,41:06-41:26,小规模冲突,天辉：玛尔斯、电炎绝手；夜魇：树精卫士,击杀结果：天辉 1 - 0 夜魇；死亡：41:26 树精卫士,152,41:18-41:21,小规模冲突,天辉：巫妖、玛尔斯、电炎绝手；夜魇：树精卫士,击杀结果：天辉 1 - 0 夜魇；死亡：41:21 树精卫士,time_range;heroes;result,
matched_diff,156,41:32-41:42,开雾,天辉：巫妖、朗戈、玛尔斯、电炎绝手；夜魇：无,"使用: FLCN(天辉) 朗戈; 进入: 朗戈, 巫妖, 玛尔斯, 电炎绝手；位置：中路/河道 raw=(96,111) game=(-4041,-2184)",153,41:32-41:32,开雾,天辉：朗戈；夜魇：无,朗戈 使用诡计之雾,time_range;heroes;result,
matched_diff,157,41:53-42:03,控符,天辉侧智慧神符附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者,祈求者拾取智慧神符,154,42:03-42:03,控符,天辉：无；夜魇：祈求者,祈求者拾取智慧神符,time_range;heroes,
matched_diff,158,41:59-42:04,控符,下符点附近： FLCN(天辉)： 电炎绝手; GLYPH(夜魇)： 无,电炎绝手拾取护盾神符,155,42:04-42:04,控符,天辉：电炎绝手；夜魇：无,电炎绝手拾取护盾神符,time_range;heroes,
matched_diff,159,42:50-43:04,小规模冲突,天辉：小小、朗戈；夜魇：拉比克、祈求者、酒仙、风行者,击杀结果：天辉 0 - 1 夜魇；死亡：43:04 朗戈,157,42:58-43:04,小规模冲突,天辉：朗戈、玛尔斯；夜魇：拉比克、祈求者、酒仙、风行者,击杀结果：天辉 0 - 1 夜魇；死亡：43:04 朗戈,time_range;heroes,
matched_diff,160,43:55-44:00,控符,"上符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 拉比克, 树精卫士",神符刷新在另一侧,159,44:04-44:04,控符,天辉：无；夜魇：祈求者,祈求者拾取奥术神符,time_range;heroes;result,
matched_diff,161,43:59-44:04,控符,下符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者,祈求者拾取奥术神符,160,44:13-44:13,控符,天辉：无；夜魇：祈求者,祈求者拾取赏金神符,time_range;heroes;result,
matched_diff,162,44:08-44:13,控符,天辉赏金符点附近： FLCN(天辉)： 无; GLYPH(夜魇)： 祈求者,祈求者拾取天辉赏金神符,161,44:16-44:16,控符,天辉：无；夜魇：风行者,风行者拾取赏金神符,time_range;heroes;result,
matched_diff,164,44:17-44:47,开雾,天辉：小小、巫妖、玛尔斯；夜魇：无,"使用: FLCN(天辉) 巫妖; 进入: 巫妖, 玛尔斯, 小小；位置：中路/河道 raw=(82,96) game=(-5848,-4116)",162,44:17-44:17,开雾,天辉：巫妖；夜魇：无,巫妖 使用诡计之雾,time_range;heroes;result,
matched_diff,166,44:47-45:18,团战,天辉：巫妖、朗戈、玛尔斯、电炎绝手；夜魇：拉比克、树精卫士、祈求者、酒仙、风行者,击杀结果：未记录英雄击杀；死亡：无,163,44:48-45:22,团战,天辉：小小、巫妖、朗戈、玛尔斯、电炎绝手；夜魇：拉比克、树精卫士、祈求者、酒仙、风行者,击杀结果：天辉 0 - 3 夜魇；死亡：44:57 朗戈、45:09 电炎绝手、45:15 玛尔斯,time_range;heroes;result,结果错误。击杀结果：天辉 0-2夜魇；死亡：44:58朗戈、45:10电炎绝手
